time;elev_torq;ail_torq;Pitch;Aileron;Elevator;Rudder;ErrorRud;ErrSumRud;out_I;out_P;out_D;torq_main_rotor;torq_tail_rotor;force_tail;Piro_rate;tail_limt;tail_angle;Pcomp;
0.7181003;0;-2;-0.001787204;0;0;0;0.0002402339;-0.001088957;-0.06533741;1.20117E-05;1.136963E-07;9.176794;11.45063;13.10971;-0.0002402339;-0.06532529;7.713615;0;
0.7348003;0;-2;-0.001787204;0;0;0;0.0002476613;-0.001088543;-0.06531259;1.238307E-05;1.779014E-07;9.388206;11.71568;13.41172;-0.0002476613;-0.06530003;7.714499;0;
0.7515004;0;-2;-0.001787204;0;0;0;0.0002534838;-0.00108812;-0.0652872;1.267419E-05;1.394614E-07;9.599074;11.98014;13.71296;-0.0002534838;-0.06527438;7.715397;0;
0.7682004;0;-3;-0.001787204;0;0;0;0.0002640711;-0.001087679;-0.06526074;1.320356E-05;2.535881E-07;9.809381;12.24403;14.0134;-0.0002640711;-0.06524728;7.716345;0;
0.7849004;0;-3;-0.001787204;0;0;0;0.0002653358;-0.001087236;-0.06523415;1.326679E-05;3.029238E-08;10.0191;12.50723;14.31301;-0.0002653358;-0.06522086;7.71727;0;
0.8016005;0;-3;-0.001787204;0;0;0;0.0002725307;-0.001086781;-0.06520684;1.362653E-05;1.723309E-07;10.22822;12.7698;14.61174;-0.0002725307;-0.06519304;7.718244;0;
0.8183005;0;-4;-0.001787204;0;0;0;0.0002846498;-0.001086305;-0.06517832;1.423249E-05;2.902792E-07;10.43671;13.03174;14.90959;-0.0002846498;-0.0651638;7.719267;0;
0.8350005;0;-4;-0.001787204;0;0;0;0.0002841538;-0.001085831;-0.06514985;1.420769E-05;-1.188064E-08;10.64455;13.29289;15.20651;-0.0002841538;-0.06513566;7.720252;0;
0.8517005;0;-4;-0.001787204;0;0;0;0.0002906143;-0.001085346;-0.06512073;1.453071E-05;1.547417E-07;10.85172;13.55334;15.50246;-0.0002906143;-0.06510605;7.721288;0;
0.8684006;0;-5;-0.001787204;0;0;0;0.0003034562;-0.001084839;-0.06509033;1.517281E-05;3.075916E-07;11.0582;13.81309;15.79743;-0.0003034562;-0.06507485;7.72238;0;
0.8851006;0;-5;-0.001787204;0;0;0;0.0003019612;-0.001084334;-0.06506006;1.509806E-05;-3.580782E-08;11.26396;14.07195;16.09137;-0.0003019612;-0.065045;7.723425;0;
0.9018006;0;-6;-0.001787204;0;0;0;0.0003083197;-0.00108382;-0.06502917;1.541598E-05;1.522977E-07;11.46898;14.33003;16.38425;-0.0003083197;-0.0650136;7.724524;0;
0.9185007;0;-6;-0.001787204;0;0;0;0.00031821;-0.001083288;-0.06499729;1.59105E-05;2.36894E-07;11.67323;14.58732;16.67604;-0.00031821;-0.06498114;7.72566;0;
0.9352007;0;-7;-0.001787204;0;0;0;0.0003226256;-0.001082749;-0.06496496;1.613128E-05;1.057637E-07;11.87669;14.84368;16.96671;-0.0003226256;-0.06494872;7.726795;0;
0.9519007;0;-7;-0.001787204;0;0;0;0.000326105;-0.001082205;-0.06493229;1.630525E-05;8.333733E-08;12.07934;15.09913;17.25621;-0.000326105;-0.0649159;7.727943;0;
0.9686007;0;-8;-0.001787204;0;0;0;0.0003314264;-0.001081651;-0.06489908;1.657132E-05;1.274587E-07;12.28116;15.35365;17.54451;-0.0003314264;-0.06488238;7.729116;0;
0.9853008;0;-9;-0.001787204;0;0;0;0.0003394247;-0.001081084;-0.06486507;1.697123E-05;1.915771E-07;12.4821;15.60724;17.83157;-0.0003394247;-0.0648479;7.730323;0;
1.002001;0;-9;-0.001787204;0;0;0;0.0003501695;-0.0010805;-0.06482998;1.750848E-05;2.573615E-07;12.68215;15.85987;18.11736;-0.0003501695;-0.06481222;7.731572;0;
1.018701;0;-10;-0.001787204;0;0;0;9.168639E-05;-0.001080347;-0.0648208;4.58432E-06;-6.191213E-06;12.88129;16.10824;18.40184;-9.168639E-05;-0.06482241;7.731216;0;
1.035401;0;-11;-0.001787204;0;0;0;-0.0004022473;-0.001081018;-0.0648611;-2.011236E-05;-1.183075E-05;13.07948;16.35042;18.68497;0.0004022473;-0.06489304;7.728744;0;
1.052101;0;-11;0;0;0;0;-0.01815179;-0.001111332;-0.06667991;-0.0009075896;-0.0004251388;13.27653;16.3839;18.96647;0.0002797558;-0.06801264;7.619557;-0.01787204;
1.068801;0;0;0;0;0;0;-1.796922E-05;-0.001111362;-0.06668171;-8.984608E-07;0.000434343;13.47289;16.77329;19.24699;1.796922E-05;-0.06624827;7.681311;0;
1.085501;0;0;0;0;0;0;-0.0008612076;-0.0011128;-0.06676801;-4.306038E-05;-2.019733E-05;13.66874;16.97587;19.52677;0.0008612076;-0.06683126;7.660906;0;
1.102201;0;0;0;0;0;0;-0.00114556;-0.001114713;-0.06688279;-5.727801E-05;-6.81084E-06;13.86363;17.20191;19.80518;0.00114556;-0.06694688;7.656859;0;
1.118901;0;0;0;0;0;0;-0.001121898;-0.001116587;-0.0669952;-5.609489E-05;5.667656E-07;14.05753;17.43636;20.08219;0.001121898;-0.06705073;7.653224;0;
1.135601;0;0;0.01656142;0;0;0;0.164377;-0.0008420771;-0.05052463;0.008218853;0.003964046;14.26594;19.998;20.37991;0.001237161;-0.03834173;8.658039;0.1656142;
1.152301;0;0;0.01656142;0;0;0;-0.05819149;-0.0009392569;-0.05635541;-0.002909575;-0.005330983;14.45676;18.16002;20.65252;0.05819149;-0.06459597;7.739141;0;
1.169001;0;0;0.03121649;0;0;0.009273103;0.234145;-0.0005482348;-0.03289409;0.01170725;0.00700207;14.68708;22.55977;20.98154;0.01755241;-0.01418477;9.503533;0.1465507;
1.185701;0;0;0.03121649;0;0;0.009273103;-0.08449554;-0.0006893423;-0.04136054;-0.004224777;-0.007632107;14.87474;19.65225;21.24963;0.1896422;-0.05321742;8.13739;0;
1.202401;1;1;0.0751817;0;0;0.01764005;0.4515115;6.46819E-05;0.003880914;0.02257558;0.01283849;15.32733;27.82705;21.89618;0.1881592;0.03929498;11.37532;0.4396521;
1.219101;1;1;0.08983677;0;0;0.02612558;-0.1925296;-0.0002568426;-0.01541056;-0.009626483;-0.01542613;15.64678;21.39539;22.35254;0.6353154;-0.04046317;8.583789;0.1465507;
1.235801;0;2;0.1044918;0;0;0.03473136;-0.1506312;-0.0005083967;-0.0305038;-0.00753156;0.001003556;15.99252;22.02261;22.84646;0.6909969;-0.03703181;8.703887;0.1465507;
1.252501;0;3;0.1044918;0;0;0.03473136;-0.3728535;-0.001131062;-0.06786373;-0.01864268;-0.005322691;16.17567;17.5204;23.1081;0.7666686;-0.0918291;6.785982;0;
1.269201;0;4;0.1192661;0;0;0.03473136;-0.02022451;-0.001164837;-0.06989022;-0.001011226;0.008446204;16.5464;20.40533;23.63772;0.5617818;-0.06245524;7.814066;0.1477422;
1.285901;0;0;0.1632313;0;0;0.03473136;0.2866114;-0.000686196;-0.04117176;0.01433057;0.007349363;17.42884;24.46932;24.89834;0.5468558;-0.01949183;9.317786;0.4396521;
1.302601;0;-2;0.1925414;0;0;0.03473136;-0.02474621;-0.0007275221;-0.04365133;-0.00123731;-0.007457667;18.19621;21.83043;25.99459;0.7116627;-0.0523463;8.167879;0.2931014;
1.319301;0;-2;0.1925414;0;0;0.03473136;-0.3111271;-0.001247104;-0.07482626;-0.01555636;-0.006859423;18.37198;17.91516;26.24568;0.7049422;-0.09724204;6.596529;0;
1.336001;0;-3;0.2366258;0;0;0.03473136;0.3258176;-0.000702989;-0.04217934;0.01629088;0.01525616;19.6181;26.03666;28.02585;0.508841;-0.0106323;9.62787;0.4408436;
1.352701;0;-5;0.2366258;0;0;0.03473136;-0.2832667;-0.001176044;-0.07056266;-0.01416333;-0.01458884;19.7882;18.0398;28.26886;0.6770818;-0.09931484;6.523981;0;
1.369401;0;-5;0.2512808;0;0;0.03473136;0.108088;-0.0009955374;-0.05973224;0.005404399;0.009373765;20.36354;23.23683;29.09078;0.4322776;-0.04495408;8.426607;0.1465505;
1.386101;0;-6;0.2512808;0;0;0.03473136;-0.03655434;-0.001056583;-0.06339499;-0.001827717;-0.003464487;20.53066;21.18293;29.32951;0.4303694;-0.06868719;7.595948;0;
1.402802;0;-6;0.3393304;0;0;0.04345912;1.053327;0.0007024723;0.04214834;0.05266633;0.02610493;23.63641;39.73976;33.7663;0.3199475;0.1209196;14.23219;0.8804959;
1.419502;0;-7;0.3393304;0;0;0.04345912;-0.6605666;-0.0004006738;-0.02404043;-0.03302833;-0.04105133;23.78569;18.76768;33.97955;1.153345;-0.09812009;6.565797;0;
1.436202;0;0;0.3539855;0;0;0.04345912;-0.1042739;-0.0005748113;-0.03448868;-0.005213697;0.01332437;24.51882;26.09427;35.02689;0.7436026;-0.026378;9.07677;0.1465505;
1.452902;0;0;0.3539855;0;0;0.06128751;-0.06177592;-0.0006779771;-0.04067863;-0.003088796;0.001017917;24.6728;24.78307;35.24686;0.7567081;-0.04274951;8.503767;0;
1.469602;0;0;0.3539855;0;0;0.06128751;-0.01530689;-0.0007035396;-0.04221238;-0.0007653445;0.001113031;24.8259;25.11486;35.46557;0.7102391;-0.04186469;8.534736;0;
1.486302;0;0;0.3686405;0;0;0.07039167;0.2569463;-0.0002744394;-0.01646636;0.01284731;0.006521033;25.57443;29.86326;36.53491;0.6877679;0.002901984;10.10157;0.1465508;
1.503002;0;0;0.3686405;0;0;0.08898892;0.1095566;-9.147992E-05;-0.005488795;0.005477828;-0.003530292;25.72023;29.54988;36.74318;0.8994789;-0.00354126;9.876056;0;
1.519702;0;0;0.3686405;0;0;0.08898892;-0.0810163;-0.0002267771;-0.01360663;-0.004050815;-0.004564619;25.86484;27.95876;36.94978;1.090052;-0.02222206;9.222228;0;
1.536402;0;-1;0.3686405;0;0;0.1378379;0.3800309;0.0004078744;0.02447246;0.01900154;0.01104305;26.00843;36.24611;37.1549;1.182898;0.05451705;11.9081;0;
1.553102;0;-1;0.3686405;0;0;0.1378379;-0.199572;7.458922E-05;0.004475353;-0.009978599;-0.0138827;26.14591;28.89805;37.3513;1.762501;-0.01938595;9.321492;0;
