Power_pitch;Power_cyclic;Power_tail;Power_0;Power_oversp;
1290;48;219;739;0;
1296;36;220;739;0;
1300;38;230;738;0;
1307;39;220;738;0;
1311;20;222;738;0;
1316;76;219;737;0;
1323;70;222;736;0;
1337;3;225;736;0;
1344;8;225;736;0;
1351;41;226;736;0;
1355;44;226;735;0;
1362;32;227;735;0;
1368;31;228;735;0;
1375;12;229;734;0;
1377;35;232;734;0;
1381;103;228;733;0;
1380;106;229;732;0;
1377;37;229;731;0;
1375;28;219;731;0;
1327;3;221;732;0;
1325;13;218;732;0;
861;55;81;735;0;
863;30;140;738;0;
861;3;177;740;0;
857;8;174;740;0;
851;7;159;739;0;
846;0;172;739;0;
839;7;169;739;0;
833;7;171;739;0;
827;3;169;739;0;
825;47;169;738;0;
826;24;169;738;0;
830;20;173;738;0;
837;6;173;737;0;
841;6;172;737;0;
845;3;185;737;0;
846;0;173;736;0;
844;9;171;736;0;
845;9;171;736;0;
846;11;171;735;0;
1081;32;120;733;0;
1080;14;207;732;0;
1079;17;202;731;0;
1081;21;193;731;0;
1084;16;196;731;0;
1090;30;198;731;0;
1095;8;208;731;0;
1097;16;201;731;0;
1099;59;200;730;0;
1109;78;200;730;0;
1117;8;198;730;0;
1125;44;202;730;0;
1130;66;202;729;0;
1366;63;272;729;0;
1411;49;249;726;0;
1406;27;231;725;0;
1404;32;231;724;0;
1401;61;232;724;0;
1392;95;231;723;0;
1375;54;216;722;0;
1362;1559;225;722;0;
1347;45;236;712;0;
1158;37;214;713;0;
1141;192;209;718;0;
1129;171;192;720;0;
1115;30;192;725;0;
1109;3;211;729;0;
1099;17;199;731;0;
1092;16;198;731;0;
1080;25;217;731;0;
1115;2;200;731;0;
1188;38;222;731;0;
1269;275;195;728;0;
1285;197;231;724;0;
1310;81;210;724;0;
1347;48;241;725;0;
1368;43;227;725;0;
1394;44;222;725;0;
1408;26;231;725;0;
1423;13;235;724;0;
1428;13;235;724;0;
1432;18;235;723;0;
1434;54;235;722;0;
1441;113;233;720;0;
1450;55;246;718;0;
1452;85;237;716;0;
1442;6;238;715;0;
1426;61;235;714;0;
1415;164;246;713;0;
1406;63;234;711;0;
1407;33;235;711;0;
1410;21;237;711;0;
1408;31;244;711;0;
1405;6;232;711;0;
1401;27;233;712;0;
1346;82;227;703;0;
885;89;265;708;0;
640;7;117;722;0;
639;11;139;735;0;
631;14;175;741;0;
625;7;150;742;0;
856;1;167;740;0;
844;22;188;739;0;
829;0;164;737;0;
821;6;168;737;0;
809;17;167;737;0;
802;6;166;737;0;
793;6;165;737;0;
788;22;165;737;0;
786;4;165;736;0;
785;18;165;736;0;
1053;8;128;733;0;
1052;5;200;732;0;
1051;8;190;732;0;
1051;13;194;732;0;
1055;25;193;731;0;
1062;18;195;731;0;
1074;0;196;731;0;
1080;2;196;731;0;
1083;5;197;731;0;
1085;4;197;730;0;
1087;10;197;730;0;
1089;9;197;730;0;
1093;0;198;730;0;
1094;20;198;730;0;
1101;11;199;729;0;
1106;0;199;729;0;
1284;8;232;729;0;
1325;4;210;727;0;
1322;5;247;727;0;
1321;5;222;726;0;
1321;0;224;726;0;
1321;4;219;726;0;
1320;10;220;726;0;
1276;14;218;726;0;
1327;7;227;726;0;
1330;2;213;726;0;
1333;43;225;726;0;
1336;77;214;725;0;
1337;38;226;725;0;
1334;8;224;725;0;
1328;22;224;726;0;
1327;10;224;726;0;
1328;6;224;726;0;
1324;22;227;726;0;
1313;23;223;726;0;
1302;7;222;726;0;
1287;8;219;726;0;
1280;8;219;726;0;
1272;0;218;726;0;
1267;12;217;727;0;
1253;17;215;727;0;
1243;6;214;727;0;
1230;11;213;727;0;
1182;27;222;727;0;
1236;49;231;727;0;
1250;35;219;727;0;
1275;28;227;726;0;
1292;45;218;726;0;
1323;66;225;725;0;
1345;81;225;725;0;
1379;58;230;724;0;
1399;10;232;724;0;
1418;31;234;724;0;
1430;20;258;724;0;
1439;4;226;723;0;
1438;4;237;723;0;
1434;29;232;722;0;
1434;16;235;721;0;
1434;10;226;720;0;
1432;2;246;720;0;
1427;13;237;720;0;
1424;9;236;720;0;
1419;9;234;719;0;
1417;24;234;719;0;
1418;28;234;719;0;
1665;11;211;716;0;
1652;1;267;711;0;
1642;3;257;708;0;
1621;20;258;703;0;
1606;33;256;700;0;
1586;16;254;697;0;
1575;0;262;695;0;
1560;2;250;693;0;
1550;3;251;691;0;
1541;22;249;690;0;
1539;17;249;689;0;
1543;67;260;687;0;
1551;30;248;686;0;
1568;45;255;684;0;
1582;40;253;682;0;
1600;17;257;680;0;
1606;53;258;678;0;
1614;80;257;674;0;
1618;12;260;672;0;
1608;139;270;670;0;
1590;164;259;667;0;
1554;18;252;664;0;
1531;10;250;664;0;
1491;26;234;664;0;
1465;10;244;665;0;
1428;30;236;666;0;
1406;112;236;668;0;
1377;220;228;668;0;
1362;3;233;669;0;
1348;0;228;673;0;
1339;64;228;676;0;
1342;124;229;678;0;
1359;49;230;679;0;
1391;9;233;682;0;
1404;18;234;683;0;
1414;28;235;685;0;
