rpm_r;pwm;e;errSum;dErr;rpm;
1692;0;-1692.656;-28.26735;482.2435;2000;
1652;0;-1652.016;-27.58867;325.4818;2000;
1619;0;-1619.749;-27.04981;307.9242;2000;
1589;0;-1589.993;-26.55289;299.3208;2000;
1559;0;-1559.535;-26.04423;300.5561;2000;
1531;0;-1531.409;-25.57454;247.9635;2000;
1507;0;-1507.895;-25.18185;222.8551;2000;
1480;0;-1480.354;-24.72192;314.1154;2000;
1439;0;-1439.003;-24.03135;462.2152;2000;
1395;0;-1395.252;-23.3007;447.6399;2000;
1354;0;-1354.135;-22.61406;400.2444;2000;
1317;0;-1317.329;-21.99939;351.7599;2000;
1280;0;-1280.883;-21.39074;396.1584;2000;
1237;0;-1237.187;-20.66102;440.6812;2000;
1197;0;-1197.577;-19.99953;319.5318;2000;
1173;0;-1173.035;-19.58969;215.5162;2000;
1153;0;-1153.628;-19.26558;172.2726;2000;
1138;0;-1138.108;-19.0064;143.9918;2000;
1126;0;-1126.288;-18.80901;125.8421;2000;
1115;0;-1115.391;-18.62704;116.5223;2000;
1104;0;-1104.084;-18.4382;112.0927;2000;
1092;0;-1092.532;-18.24529;116.4858;2000;
1081;0;-1081.399;-18.05937;108.6864;2000;
1070;0;-1070.605;-17.8791;107.0856;2000;
1059;0;-1059.964;-17.7014;105.5725;2000;
1049;0;-1049.472;-17.52618;104.1033;2000;
1039;0;-1039.116;-17.35324;102.9703;2000;
1028;0;-1028.82;-17.1813;102.6414;2000;
1018;0;-1018.664;-17.01168;99.95147;2000;
1008;0;-1008.724;-16.84569;98.66498;2000;
998;0;-998.9105;-16.6818;97.42235;2000;
989;0;-989.1953;-16.51956;97.08245;2000;
979;0;-979.5275;-16.35811;95.0321;2000;
970;0;-970.0716;-16.2002;93.90277;2000;
960;0;-960.7272;-16.04414;92.80268;2000;
951;0;-951.4905;-15.88989;91.74278;2000;
942;0;-942.3585;-15.73739;90.71214;2000;
933;0;-933.3281;-15.58658;89.71072;2000;
924;0;-924.3961;-15.43741;88.73854;2000;
915;0;-915.5595;-15.28984;87.79926;2000;
906;0;-906.8157;-15.14382;86.88556;2000;
898;0;-898.1619;-14.9993;85.99744;2000;
889;0;-889.5956;-14.85625;85.13491;2000;
881;0;-881.1141;-14.71461;84.29796;2000;
872;0;-872.7151;-14.57434;83.4866;2000;
864;0;-864.3963;-14.43542;82.6935;2000;
856;0;-856.1553;-14.29779;81.92599;2000;
847;0;-847.9899;-14.16143;81.18041;2000;
839;0;-839.8981;-14.0263;80.45676;2000;
831;0;-831.8779;-13.89236;79.75139;2000;
823;0;-823.9272;-13.75958;79.06429;2000;
816;0;-816.0443;-13.62794;78.39545;2000;
808;0;-808.227;-13.49739;77.74856;2000;
800;0;-800.4737;-13.36791;77.11628;2000;
792;0;-792.7827;-13.23947;76.50227;2000;
785;0;-785.1524;-13.11205;75.90289;2000;
777;0;-777.581;-12.9856;75.32177;2000;
770;0;-770.067;-12.86012;74.75528;2000;
762;0;-762.6088;-12.73557;74.2034;2000;
755;0;-755.2051;-12.61193;73.66615;2000;
747;0;-747.8544;-12.48917;73.14351;2000;
740;0;-740.5552;-12.36727;72.63549;2000;
733;0;-733.3063;-12.24621;72.13844;2000;
726;0;-726.1062;-12.12597;71.65601;2000;
718;0;-718.9537;-12.00653;71.18819;2000;
711;0;-711.2801;-11.87838;77.80338;2000;
703;0;-703.5231;-11.74883;77.13821;2000;
695;0;-695.8315;-11.62039;76.49862;2000;
688;0;-688.2026;-11.49298;75.88096;2000;
680;0;-680.6375;-11.36665;75.24502;2000;
673;0;-673.1337;-11.24133;74.64928;2000;
665;0;-665.6864;-11.11696;74.09376;2000;
659;0;-659.5224;-11.01402;73.64056;2000;
652;0;-652.175;-10.89132;73.10696;2000;
644;0;-644.8799;-10.7695;72.59164;2000;
637;0;-637.636;-10.64852;72.08727;2000;
630;0;-630.4417;-10.52838;71.59753;2000;
623;0;-623.2957;-10.40904;71.11875;2000;
616;0;-616.1969;-10.29049;70.65459;2000;
609;0;-609.144;-10.1727;70.20139;2000;
602;0;-602.1358;-10.05567;69.75916;2000;
595;0;-595.1712;-9.939359;69.3279;2000;
588;0;-588.2489;-9.823756;68.91125;2000;
581;0;-581.368;-9.708845;68.50191;2000;
574;0;-574.5272;-9.594604;68.10719;2000;
567;0;-567.7256;-9.481018;67.71979;2000;
560;0;-560.9623;-9.36807;67.34335;2000;
554;0;-554.2361;-9.255743;66.97421;2000;
547;0;-547.5463;-9.144022;66.61604;2000;
540;0;-540.8917;-9.032891;66.26883;2000;
534;0;-534.2715;-8.922335;65.92893;2000;
527;0;-527.6849;-8.812338;65.59635;2000;
521;0;-521.1309;-8.702887;65.27473;2000;
514;0;-514.6087;-8.593966;64.96041;2000;
508;0;-508.1175;-8.485561;64.65707;2000;
501;0;-501.6564;-8.377661;64.3592;2000;
495;0;-495.2247;-8.270252;64.06864;2000;
488;0;-488.8216;-8.163321;63.7854;2000;
482;0;-482.4464;-8.056854;63.51128;2000;
476;0;-476.0983;-7.950841;63.24266;2000;
469;0;-469.7767;-7.845271;62.98134;2000;
463;0;-463.4809;-7.74013;62.72733;2000;
457;0;-457.2101;-7.635407;62.48063;2000;
450;0;-450.9637;-7.531093;62.23941;2000;
444;0;-444.741;-7.427175;62.00551;2000;
438;0;-438.5415;-7.323643;61.77708;2000;
432;0;-432.3645;-7.220488;61.55414;2000;
426;0;-426.2095;-7.117698;61.3385;2000;
420;0;-420.0757;-7.015264;61.12836;2000;
413;0;-413.9626;-6.913176;60.92369;2000;
407;0;-407.8698;-6.811425;60.7245;2000;
